City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Pronsk,RU,54.1048,39.6092,70.21,41,100,14.0,overcast clouds
234,Chara,RU,56.9064,118.2631,46.99,79,30,2.64,light rain
235,Xichang,CN,27.8964,102.2634,67.3,92,99,1.97,overcast clouds
236,Guarapari,BR,-20.6667,-40.4975,76.89,59,6,25.41,clear sky
237,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,64,78,6.17,broken clouds
238,Salalah,OM,17.0151,54.0924,75.0,95,100,4.16,overcast clouds
239,Smidovich,RU,48.6,133.8167,63.64,90,91,3.33,overcast clouds
240,Luderitz,NA,-26.6481,15.1594,59.07,63,4,25.48,clear sky
241,Guaruja,BR,-23.9931,-46.2564,78.84,61,20,8.05,few clouds
242,Karratha,AU,-20.7377,116.8463,71.17,27,15,12.37,few clouds
243,Surt,LY,31.2089,16.5887,86.81,54,0,12.62,clear sky
244,Wad Madani,SD,14.4012,33.5199,88.14,47,51,8.97,broken clouds
245,Whitefish,US,48.4111,-114.3376,80.2,45,0,12.66,clear sky
246,Juba,SS,4.8517,31.5825,75.07,79,95,4.63,overcast clouds
247,Abu Samrah,SY,35.3029,37.1841,87.15,32,0,12.44,clear sky
248,Shakawe,BW,-18.3667,21.85,72.39,10,37,1.12,scattered clouds
249,Esperance,AU,-33.8667,121.9,52.07,75,11,16.49,few clouds
250,Moron,AR,-34.6534,-58.6198,52.81,44,3,12.66,clear sky
251,La Ronge,CA,55.1001,-105.2842,70.05,60,0,5.75,clear sky
252,Maningrida,AU,-12.0667,134.2667,61.43,77,4,7.61,clear sky
253,Santa Fe,AR,-31.6333,-60.7,58.01,29,0,13.0,light rain
254,El Bagre,CO,7.5927,-74.8086,92.17,52,37,2.15,scattered clouds
255,Aktau,KZ,43.65,51.2,81.18,24,0,14.25,clear sky
256,Springdale,US,36.1867,-94.1288,78.82,68,21,1.99,few clouds
257,Carballo,ES,43.213,-8.691,74.75,70,4,8.21,clear sky
258,Naze,JP,28.3667,129.4833,81.52,83,95,14.38,overcast clouds
259,Axim,GH,4.8699,-2.2405,77.14,74,79,11.88,broken clouds
260,Safi,MA,32.1667,-8.8333,91.85,21,0,15.03,clear sky
261,Guerrero Negro,MX,27.9769,-114.0611,78.15,63,98,10.31,overcast clouds
262,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,89.89,19,0,4.88,clear sky
263,Auki,SB,-8.7676,160.7034,74.17,87,60,4.54,broken clouds
264,Mount Isa,AU,-20.7333,139.5,44.37,42,0,6.91,light rain
265,Inhambane,MZ,-23.865,35.3833,73.96,78,45,16.87,scattered clouds
266,Alyangula,AU,-13.8483,136.4192,67.17,77,1,5.59,clear sky
267,Lata,PT,40.1629,-8.3327,82.49,42,3,10.49,clear sky
268,Lebu,CL,-37.6167,-73.65,50.52,68,5,13.42,clear sky
269,Itoman,JP,26.1247,127.6694,84.4,84,40,16.11,scattered clouds
270,Caluquembe,AO,-13.7833,14.6833,70.86,15,3,4.61,clear sky
271,Klaksvik,FO,62.2266,-6.589,54.52,89,73,23.55,broken clouds
272,Pemangkat,ID,1.1667,108.9667,80.17,80,47,2.37,scattered clouds
273,Hualmay,PE,-11.0964,-77.6139,65.48,69,44,10.49,scattered clouds
274,Kefalos,GR,36.7453,26.9589,91.62,46,0,14.97,clear sky
275,Los Llanos De Aridane,ES,28.6585,-17.9182,72.12,72,40,14.97,scattered clouds
276,Gander,CA,48.9682,-54.5906,66.33,82,100,11.5,overcast clouds
277,Angoche,MZ,-16.2325,39.9086,75.07,76,58,13.98,broken clouds
278,Samarai,PG,-10.6167,150.6667,75.9,60,90,8.99,overcast clouds
279,Olafsvik,IS,64.8945,-23.7142,52.88,72,58,9.35,broken clouds
280,Marawi,PH,7.9986,124.2928,68.38,94,98,4.36,overcast clouds
281,Alice Springs,AU,-23.7,133.8833,52.21,65,45,8.05,scattered clouds
282,Kirakira,SB,-10.4544,161.9205,76.03,86,88,5.68,overcast clouds
283,Tocopilla,CL,-22.092,-70.1979,68.85,57,10,8.19,clear sky
284,Port Hedland,AU,-20.3167,118.5667,68.05,40,43,8.05,scattered clouds
285,Yumen,CN,40.2833,97.2,70.84,31,0,2.84,clear sky
286,Coolum Beach,AU,-26.5333,153.1,55.11,79,0,5.73,clear sky
287,Goderich,CA,43.7501,-81.7165,76.91,83,0,6.91,clear sky
288,Phangnga,TH,8.4509,98.5298,78.84,93,78,2.89,broken clouds
289,Hulan,CN,45.9833,126.6,71.71,97,100,6.24,heavy intensity rain
290,La Ligua,CL,-32.4524,-71.2311,65.62,33,0,5.86,clear sky
